id,title,link,snippet,saved_at
2,Comparing humans and AI agents,https://link.springer.com/chapter/10.1007/978-3-642-22887-2_13,"… agent interact for a certain number of steps m. We call this an exercise (or episode). For an exercise we average the obtained rewards, so giving a score of the agent … so the agents have …",2025-04-14 18:42:11
1,Artificial intelligence and virtual worlds–toward human-level AI agents,https://ieeexplore.ieee.org/abstract/document/8410872/,"… the intersection of Artificial Intelligence and virtual worlds, focusing on AI agents and exploring the … This paper aimed to provide a unique perspective on the subject of AI agents in virtual …",2025-04-14 18:42:06
